Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.6024 0.6033 0.6886 SUCCES PSUCC cg.f:577
0.9966 0.9952 0.6673 SUCCES PSUCC cg.f:578
0.3066 0.3074 0.0081 SUCCES PSUCC cg.f:578
0.1944 0.1940 0.9822 SUCCES PSUCC cg.f:578
0.5062 0.5068 0.3214 FAILED PSUCC cg.f:578
0.3157 0.3155 0.1629 FAILED PSUCC cg.f:577
0.6173 0.6189 0.4951 SUCCES PSUCC cg.f:578
0.0166 0.0168 0.4794 SUCCES PSUCC cg.f:578
0.3287 0.3292 0.3214 FAILED PSUCC cg.f:578
0.7208 0.7245 0.2994 SUCCES PSUCC cg.f:578
0.0278 0.0280 0.1363 FAILED PSUCC cg.f:578
0.4240 0.4239 0.6177 FAILED PSUCC cg.f:578
0.2276 0.2279 0.4533 SUCCES PSUCC cg.f:578
0.5390 0.5395 0.7928 SUCCES PSUCC cg.f:578
0.3443 0.3434 0.6318 SUCCES PSUCC cg.f:578
0.1458 0.1466 0.4614 SUCCES PSUCC cg.f:680
0.0461 0.0463 0.4457 FAILED PSUCC cg.f:578
0.9441 0.9452 0.9296 SUCCES PSUCC cg.f:578
0.7476 0.7457 0.2632 SUCCES PSUCC cg.f:578
0.0548 0.0550 0.6013 SUCCES PSUCC cg.f:577
0.4522 0.4531 0.0833 SUCCES PSUCC cg.f:578
0.2538 0.2541 0.9157 SUCCES PSUCC cg.f:578
0.0639 0.0639 0.2567 SUCCES PSUCC cg.f:580
0.4556 0.4568 0.7340 SUCCES PSUCC cg.f:578
0.7642 0.7650 0.5725 FAILED PSUCC cg.f:578
0.0746 0.0748 0.9125 FAILED PSUCC cg.f:578
0.4724 0.4745 0.3948 FAILED PSUCC cg.f:578
0.2751 0.2758 0.2282 SUCCES PSUCC cg.f:578
0.6748 0.6744 0.7123 SUCCES PSUCC cg.f:578
0.4818 0.4829 0.0508 SUCCES PSUCC cg.f:578
0.7862 0.7913 0.3862 SUCCES PSUCC cg.f:578
0.1788 0.1800 0.3635 FAILED PSUCC cg.f:578
0.5738 0.5763 0.8440 SUCCES PSUCC cg.f:578
0.9677 0.9720 0.3229 SUCCES PSUCC cg.f:578
0.2782 0.2798 0.6622 SUCCES PSUCC cg.f:578
0.1661 0.1669 0.6375 SUCCES PSUCC cg.f:578
0.4769 0.4798 0.4778 SUCCES PSUCC cg.f:578
0.8676 0.8737 0.4557 SUCCES PSUCC cg.f:578
0.2668 0.2691 0.4366 FAILED PSUCC cg.f:578
0.6664 0.6704 0.4223 SUCCES PSUCC cg.f:578
0.4716 0.4741 0.7570 SUCCES PSUCC cg.f:578
0.8632 0.8666 0.2342 SUCCES PSUCC cg.f:681
0.1712 0.1719 0.0742 SUCCES PSUCC cg.f:578
0.0696 0.0702 0.5574 SUCCES PSUCC cg.f:578
0.4597 0.4635 0.5320 FAILED PSUCC cg.f:578
0.3542 0.3560 0.0116 SUCCES PSUCC cg.f:578
0.6604 0.6636 0.8483 SUCCES PSUCC cg.f:577
0.5614 0.5638 0.3340 SUCCES PSUCC cg.f:577
0.3653 0.3686 0.1687 SUCCES PSUCC cg.f:578
0.7577 0.7615 0.1470 FAILED PSUCC cg.f:577
0.6520 0.6540 0.6261 SUCCES PSUCC cg.f:578
0.4567 0.4602 0.4600 SUCCES PSUCC cg.f:578
0.3561 0.3578 0.4462 SUCCES PSUCC cg.f:578
0.2489 0.2501 0.4239 FAILED PSUCC cg.f:578
0.5595 0.5646 0.2631 FAILED PSUCC cg.f:578
0.9519 0.9568 0.7414 SUCCES PSUCC cg.f:578
0.3466 0.3475 0.2206 SUCCES PSUCC cg.f:578
0.6551 0.6607 0.0601 FAILED PSUCC cg.f:577
0.5513 0.5538 0.0398 SUCCES PSUCC cg.f:578
0.4440 0.4463 0.0181 SUCCES PSUCC cg.f:578
0.2494 0.2508 0.8563 SUCCES PSUCC cg.f:578
0.6458 0.6492 0.3374 FAILED PSUCC cg.f:578
0.5355 0.5357 0.8109 SUCCES PSUCC cg.f:578
0.3454 0.2185 0.6524 SUCCES PFAIL cg.f:578
0.8742 0.8803 0.2018 SUCCES PSUCC cg.f:578
0.7717 0.7766 0.6855 SUCCES PSUCC cg.f:578
0.1690 0.1697 0.6673 SUCCES PSUCC cg.f:577
0.0542 0.0545 0.6367 FAILED PSUCC cg.f:578
0.8647 0.8654 0.4780 SUCCES PSUCC cg.f:578
0.6728 0.6759 0.3176 SUCCES PSUCC cg.f:578
