Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.0108 0.0068 0.0427 SUCCES PFAIL cg.f:578
0.6293 0.6264 0.2379 SUCCES PSUCC cg.f:681
0.0209 0.0131 0.7151 SUCCES PFAIL cg.f:578
0.5528 0.3472 0.7690 SUCCES PFAIL cg.f:578
0.1683 0.1057 0.9594 SUCCES PFAIL cg.f:578
0.6881 0.4321 0.5025 SUCCES PFAIL cg.f:578
0.2183 0.1370 0.0540 SUCCES PFAIL cg.f:578
0.3365 0.2113 0.7502 SUCCES PFAIL cg.f:578
0.8567 0.5378 0.2922 SUCCES PFAIL cg.f:578
0.9675 0.6060 0.9819 SUCCES PFAIL cg.f:578
0.0006 0.0004 0.5346 SUCCES PFAIL cg.f:578
0.1122 0.0703 0.7247 SUCCES PFAIL cg.f:578
0.1404 0.0881 0.2735 SUCCES PFAIL cg.f:578
0.6645 0.4177 0.3202 SUCCES PFAIL cg.f:578
0.2788 0.1750 0.0124 SUCCES PFAIL cg.f:578
0.3033 0.1905 0.5577 SUCCES PFAIL cg.f:578
0.8292 0.5213 0.1053 SUCCES PFAIL cg.f:578
0.4424 0.2780 0.7967 SUCCES PFAIL cg.f:578
0.0602 0.0377 0.9905 SUCCES PFAIL cg.f:578
0.5023 0.3146 0.3986 SUCCES PFAIL cg.f:578
0.0284 0.0179 0.9465 SUCCES PFAIL cg.f:578
0.1366 0.0860 0.6329 SUCCES PFAIL cg.f:578
0.2544 0.1597 0.8290 SUCCES PFAIL cg.f:578
0.7761 0.4865 0.8727 SUCCES PFAIL cg.f:578
0.8933 0.5612 0.5647 SUCCES PFAIL cg.f:578
0.4178 0.2620 0.1115 SUCCES PFAIL cg.f:578
0.4453 0.2792 0.6618 SUCCES PFAIL cg.f:578
0.4757 0.2986 0.2142 SUCCES PFAIL cg.f:578
0.5878 0.3686 0.4031 SUCCES PFAIL cg.f:578
0.1143 0.0714 0.9529 SUCCES PFAIL cg.f:578
0.1419 0.0892 0.0012 SUCCES PFAIL cg.f:578
0.1628 0.1024 0.5449 SUCCES PFAIL cg.f:578
0.2803 0.1761 0.2393 SUCCES PFAIL cg.f:577
0.3074 0.1931 0.7870 SUCCES PFAIL cg.f:578
0.3335 0.2098 0.8357 SUCCES PFAIL cg.f:578
0.4495 0.2819 0.0278 SUCCES PFAIL cg.f:578
0.4736 0.2972 0.0740 SUCCES PFAIL cg.f:577
0.5869 0.3683 0.2664 SUCCES PFAIL cg.f:578
0.6177 0.3879 0.8187 SUCCES PFAIL cg.f:681
0.7298 0.4569 0.0061 SUCCES PFAIL cg.f:578
0.7555 0.4731 0.5537 SUCCES PFAIL cg.f:578
0.7837 0.4931 0.6053 SUCCES PFAIL cg.f:578
0.8984 0.5610 0.2967 SUCCES PFAIL cg.f:680
0.8379 0.5250 0.2044 SUCCES PFAIL cg.f:578
0.4481 0.2809 0.8923 SUCCES PFAIL cg.f:681
0.4748 0.2986 0.4394 SUCCES PFAIL cg.f:578
0.4981 0.3131 0.9857 SUCCES PFAIL cg.f:578
0.1184 0.0743 0.6822 SUCCES PFAIL cg.f:578
0.1451 0.0911 0.7306 SUCCES PFAIL cg.f:577
0.7569 0.4757 0.4191 SUCCES PFAIL cg.f:577
0.7850 0.4928 0.9690 SUCCES PFAIL cg.f:578
0.8092 0.5085 0.5156 SUCCES PFAIL cg.f:578
0.9241 0.5798 0.2089 SUCCES PFAIL cg.f:578
0.4547 0.2851 0.2600 SUCCES PFAIL cg.f:578
0.0644 0.0406 0.9464 SUCCES PFAIL cg.f:578
0.5895 0.3708 0.9935 SUCCES PFAIL cg.f:578
0.2096 0.1320 0.1908 SUCCES PFAIL cg.f:578
0.8221 0.5173 0.3788 SUCCES PFAIL cg.f:578
0.9315 0.5857 0.0676 SUCCES PFAIL cg.f:578
0.9605 0.6028 0.1170 SUCCES PFAIL cg.f:578
0.5710 0.3581 0.8062 SUCCES PFAIL cg.f:578
0.5966 0.3745 0.3532 SUCCES PFAIL cg.f:578
0.1272 0.0800 0.4048 SUCCES PFAIL cg.f:578
0.2416 0.1517 0.5978 SUCCES PFAIL cg.f:578
0.2646 0.1665 0.1431 SUCCES PFAIL cg.f:578
0.8766 0.5499 0.3305 SUCCES PFAIL cg.f:578
0.4084 0.2560 0.8840 SUCCES PFAIL cg.f:578
0.5210 0.3266 0.0746 SUCCES PFAIL cg.f:578
0.5485 0.3448 0.1225 SUCCES PFAIL cg.f:578
0.5733 0.3593 0.6709 SUCCES PFAIL cg.f:578
0.5988 0.3762 0.7200 SUCCES PFAIL cg.f:578
0.2186 0.1376 0.9131 SUCCES PFAIL cg.f:578
0.3308 0.2076 0.1026 SUCCES PFAIL cg.f:578
0.8564 0.5369 0.1526 SUCCES PFAIL cg.f:577
0.9665 0.6071 0.8391 SUCCES PFAIL cg.f:578
0.9982 0.6281 0.3908 SUCCES PFAIL cg.f:578
0.6081 0.3815 0.5803 SUCCES PFAIL cg.f:578
0.1338 0.0843 0.1290 SUCCES PFAIL cg.f:578
0.2486 0.1564 0.3183 SUCCES PFAIL cg.f:578
0.8583 0.5394 0.5052 SUCCES PFAIL cg.f:578
0.8949 0.5624 0.5639 SUCCES PFAIL cg.f:578
0.0060 0.0038 0.7516 SUCCES PFAIL cg.f:578
0.5291 0.3324 0.7981 SUCCES PFAIL cg.f:578
0.0547 0.0344 0.8455 SUCCES PFAIL cg.f:578
0.6709 0.4212 0.5368 SUCCES PFAIL cg.f:577
0.2864 0.1799 0.2296 SUCCES PFAIL cg.f:578
0.3090 0.1939 0.7757 SUCCES PFAIL cg.f:578
0.8378 0.5253 0.3250 SUCCES PFAIL cg.f:578
0.9498 0.5954 0.5137 SUCCES PFAIL cg.f:578
0.9763 0.6127 0.5636 SUCCES PFAIL cg.f:578
0.0072 0.0046 0.1153 SUCCES PFAIL cg.f:578
0.6194 0.3881 0.3035 SUCCES PFAIL cg.f:578
0.1415 0.0890 0.8507 SUCCES PFAIL cg.f:578
0.1700 0.1068 0.9000 SUCCES PFAIL cg.f:578
0.1996 0.1257 0.4505 SUCCES PFAIL cg.f:577
0.8151 0.5123 0.1441 SUCCES PFAIL cg.f:578
0.4284 0.2691 0.3330 SUCCES PFAIL cg.f:578
0.9516 0.5983 0.8785 SUCCES PFAIL cg.f:578
0.5647 0.3548 0.0697 SUCCES PFAIL cg.f:578
0.1793 0.1129 0.2600 SUCCES PFAIL cg.f:578
0.2046 0.1282 0.8087 SUCCES PFAIL cg.f:578
0.3220 0.2024 0.5029 SUCCES PFAIL cg.f:578
0.8447 0.5306 0.0468 SUCCES PFAIL cg.f:578
0.9636 0.6051 0.2420 SUCCES PFAIL cg.f:578
0.9885 0.6205 0.7903 SUCCES PFAIL cg.f:578
0.5167 0.3250 0.3383 SUCCES PFAIL cg.f:578
0.1307 0.0823 0.0309 SUCCES PFAIL cg.f:578
0.7421 0.4665 0.7186 SUCCES PFAIL cg.f:578
0.3552 0.2234 0.4090 SUCCES PFAIL cg.f:578
0.8824 0.5555 0.4580 SUCCES PFAIL cg.f:578
0.9918 0.6230 0.1457 SUCCES PFAIL cg.f:578
0.5202 0.3274 0.6949 SUCCES PFAIL cg.f:578
0.6371 0.3996 0.8876 SUCCES PFAIL cg.f:578
0.1600 0.1006 0.4338 SUCCES PFAIL cg.f:578
0.7790 0.4905 0.1301 SUCCES PFAIL cg.f:578
0.8928 0.5610 0.3197 SUCCES PFAIL cg.f:680
0.9178 0.5764 0.8674 SUCCES PFAIL cg.f:578
0.0273 0.0172 0.0542 SUCCES PFAIL cg.f:578
0.6480 0.4073 0.7494 SUCCES PFAIL cg.f:578
0.6722 0.4218 0.7972 SUCCES PFAIL cg.f:578
0.6964 0.4381 0.3433 SUCCES PFAIL cg.f:578
0.3126 0.1963 0.5357 SUCCES PFAIL cg.f:578
0.4246 0.2671 0.7265 SUCCES PFAIL cg.f:578
0.9443 0.5934 0.2695 SUCCES PFAIL cg.f:578
0.0636 0.0400 0.4646 SUCCES PFAIL cg.f:578
0.5952 0.3732 0.5175 SUCCES PFAIL cg.f:578
0.2063 0.1298 0.2055 SUCCES PFAIL cg.f:577
0.2317 0.1457 0.2544 SUCCES PFAIL cg.f:578
0.8445 0.5302 0.4434 SUCCES PFAIL cg.f:578
0.8756 0.5502 0.9955 SUCCES PFAIL cg.f:578
0.4852 0.3051 0.6816 SUCCES PFAIL cg.f:578
0.1005 0.0633 0.3733 SUCCES PFAIL cg.f:578
0.6230 0.3917 0.4192 SUCCES PFAIL cg.f:578
0.7449 0.4683 0.6185 SUCCES PFAIL cg.f:578
0.3541 0.2222 0.3033 SUCCES PFAIL cg.f:578
0.8761 0.5511 0.3486 SUCCES PFAIL cg.f:578
0.4954 0.3113 0.5431 SUCCES PFAIL cg.f:578
0.5232 0.3293 0.0947 SUCCES PFAIL cg.f:578
0.1378 0.0866 0.2854 SUCCES PFAIL cg.f:577
0.6628 0.4167 0.8312 SUCCES PFAIL cg.f:578
0.2726 0.1713 0.5195 SUCCES PFAIL cg.f:578
0.3891 0.2447 0.2130 SUCCES PFAIL cg.f:577
0.4145 0.2608 0.2595 SUCCES PFAIL cg.f:578
0.5320 0.3344 0.4551 SUCCES PFAIL cg.f:578
0.1410 0.0887 0.6409 SUCCES PFAIL cg.f:578
0.1666 0.1049 0.1885 SUCCES PFAIL cg.f:577
0.7805 0.4905 0.3783 SUCCES PFAIL cg.f:578
0.8138 0.5117 0.4333 SUCCES PFAIL cg.f:578
0.4311 0.2708 0.1271 SUCCES PFAIL cg.f:578
0.9516 0.5984 0.6720 SUCCES PFAIL cg.f:578
0.5648 0.3532 0.8589 SUCCES PFAIL cg.f:578
0.0012 0.0008 0.7648 SUCCES PFAIL cg.f:578
0.1169 0.0736 0.9561 SUCCES PFAIL cg.f:578
0.6462 0.4060 0.5087 SUCCES PFAIL cg.f:578
0.2581 0.1623 0.1980 SUCCES PFAIL cg.f:645
0.3708 0.2334 0.8875 SUCCES PFAIL cg.f:578
0.8990 0.5643 0.4353 SUCCES PFAIL cg.f:578
0.5113 0.3213 0.6254 SUCCES PFAIL cg.f:578
0.6231 0.3911 0.8145 SUCCES PFAIL cg.f:578
0.1571 0.0988 0.3700 SUCCES PFAIL cg.f:578
0.2670 0.1681 0.5596 SUCCES PFAIL cg.f:578
0.2926 0.1835 0.1059 SUCCES PFAIL cg.f:578
0.9055 0.5685 0.2948 SUCCES PFAIL cg.f:578
0.4347 0.2735 0.8458 SUCCES PFAIL cg.f:578
0.5507 0.3461 0.5383 SUCCES PFAIL cg.f:578
0.5742 0.3610 0.0859 SUCCES PFAIL cg.f:681
0.6829 0.4294 0.2709 SUCCES PFAIL cg.f:578
0.7139 0.4473 0.3233 SUCCES PFAIL cg.f:578
0.7404 0.4626 0.3701 SUCCES PFAIL cg.f:578
