Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.1648 0.1638 0.3668 failed PSUCC fft3d.f:126
0.2300 0.2302 0.6451 succes PSUCC fft3d.f:48
0.8815 0.8654 0.0613 succes PSUCC fft3d.f:81
0.9574 0.9039 0.8459 succes PSUCC fft3d.f:49
0.3453 0.3327 0.8366 succes PSUCC fft3d.f:2
0.2416 0.2415 0.3342 succes PSUCC fft3d.f:49
0.3876 0.3663 0.2452 succes PSUCC fft3d.f:45
0.6990 0.6682 0.1017 succes PSUCC fft3d.f:81
0.1759 0.1747 0.7361 succes PSUCC fft3d.f:82
0.2443 0.2315 0.0139 succes PSUCC fft3d.f:49
0.6347 0.6311 0.0066 succes PSUCC fft3d.f:81
0.2097 0.2076 0.7909 succes PSUCC ()
0.2725 0.2560 0.5660 succes PSUCC fft3d.f:166
0.6688 0.6571 0.0627 succes PSUCC fft3d.f:49
0.6461 0.6377 0.6959 succes PSUCC fft3d.f:79
0.7101 0.6676 0.4693 failed PSUCC fft3d.f:46
0.6052 0.6022 0.4680 succes PSUCC fft3d.f:49
0.1733 0.1727 0.2433 failed PSUCC fft3d.f:2
0.8259 0.7773 0.1631 succes PSUCC fft3d.f:48
0.6308 0.6277 0.0153 succes PSUCC fft3d.f:49
0.7845 0.7811 0.9310 succes PSUCC fft3d.f:82
0.3569 0.3369 0.7148 succes PSUCC fft3d.f:49
0.1552 0.1542 0.5595 succes PSUCC fft3d.f:49
0.8132 0.8089 0.9832 succes PSUCC fft3d.f:82
0.3787 0.3758 0.2594 succes PSUCC fft3d.f:46
0.4476 0.4465 0.0396 succes PSUCC fft3d.f:47
0.5999 0.5934 0.9560 succes PSUCC fft3d.f:166
0.6633 0.6267 0.2304 succes PSUCC fft3d.f:81
0.9715 0.9533 0.0865 succes PSUCC fft3d.f:49
0.0392 0.0389 0.8629 succes PSUCC fft3d.f:82
0.1042 0.1030 0.6393 succes PSUCC fft3d.f:49
0.5872 0.5840 0.2763 succes PSUCC fft3d.f:49
0.7393 0.7427 0.6937 succes PSUCC fft3d.f:49
0.3930 0.3911 0.1130 succes PSUCC fft3d.f:81
0.9603 0.9560 0.3906 succes PSUCC fft3d.f:55
0.0307 0.0307 0.1722 succes PSUCC fft3d.f:81
0.6801 0.6755 0.5877 succes PSUCC fft3d.f:82
0.2480 0.2432 0.3657 succes PSUCC fft3d.f:2
0.3166 0.3144 0.6446 succes PSUCC fft3d.f:2
0.3812 0.3766 0.4195 succes PSUCC fft3d.f:45
0.4481 0.4489 0.6963 succes PSUCC fft3d.f:2
0.0147 0.0147 0.4738 succes PSUCC fft3d.f:2
0.0851 0.0806 0.7547 succes PSUCC fft3d.f:2
0.4779 0.4801 0.2470 succes PSUCC fft3d.f:81
0.1313 0.1314 0.1678 succes PSUCC fft3d.f:82
0.6919 0.6920 0.9399 succes PSUCC fft3d.f:166
0.2684 0.2672 0.7249 succes PSUCC fft3d.f:82
0.3269 0.3246 0.9952 succes PSUCC fft3d.f:2
0.4864 0.4843 0.4184 succes PSUCC fft3d.f:49
0.0487 0.0484 0.6917 succes PSUCC fft3d.f:166
0.1175 0.1165 0.9714 succes PSUCC fft3d.f:49
0.6844 0.6850 0.7499 succes PSUCC fft3d.f:82
0.8379 0.8342 0.6672 succes PSUCC fft3d.f:49
0.4081 0.4051 0.4478 succes PSUCC ()
0.4699 0.4678 0.2198 succes PSUCC fft3d.f:57
0.6278 0.6251 0.6412 succes PSUCC fft3d.f:82
0.6898 0.6837 0.4154 succes PSUCC fft3d.f:49
0.3407 0.3399 0.8328 succes PSUCC fft3d.f:49
0.9165 0.9126 0.6177 succes PSUCC fft3d.f:2
0.9806 0.9742 0.3936 failed PSUCC fft3d.f:2
0.6315 0.6331 0.8093 succes PSUCC fft3d.f:82
0.2912 0.2901 0.2332 succes PSUCC fft3d.f:49
0.3510 0.3511 0.5063 succes PSUCC ()
0.5077 0.5059 0.4246 succes PSUCC ()
0.5781 0.5769 0.2060 succes PSUCC fft3d.f:48
0.2263 0.2247 0.6217 succes PSUCC fft3d.f:126
0.2964 0.2954 0.3999 succes PSUCC fft3d.f:49
0.8632 0.8622 0.6784 succes PSUCC fft3d.f:49
0.5177 0.5132 0.0975 succes PSUCC fft3d.f:81
0.5835 0.5826 0.3734 succes PSUCC fft3d.f:2
0.7298 0.7233 0.7873 succes PSUCC fft3d.f:44
0.3036 0.3030 0.0690 succes PSUCC fft3d.f:82
0.9611 0.9554 0.4920 succes PSUCC fft3d.f:48
0.5194 0.5168 0.2642 succes PSUCC fft3d.f:77
0.0935 0.0930 0.0453 succes PSUCC fft3d.f:159
0.7462 0.7371 0.4646 succes PSUCC fft3d.f:2
0.3082 0.3062 0.7380 succes PSUCC ()
0.8774 0.8714 0.5163 succes PSUCC fft3d.f:81
0.4471 0.4446 0.7966 succes PSUCC fft3d.f:2
0.5123 0.5088 0.0719 succes PSUCC fft3d.f:49
0.1688 0.1680 0.9936 succes PSUCC fft3d.f:49
0.7274 0.7235 0.2635 succes PSUCC fft3d.f:49
0.3014 0.3014 0.5482 succes PSUCC ()
0.4560 0.4538 0.9674 succes PSUCC fft3d.f:166
0.5199 0.5161 0.7414 failed PSUCC fft3d.f:49
0.6708 0.6694 0.6593 failed PSUCC fft3d.f:2
0.7376 0.7259 0.9361 succes PSUCC fft3d.f:82
0.3114 0.3120 0.7180 succes PSUCC fft3d.f:48
0.8695 0.8642 0.9885 succes PSUCC fft3d.f:82
0.0263 0.0264 0.9100 failed PSUCC fft3d.f:49
0.6821 0.6794 0.8295 succes PSUCC fft3d.f:2
0.2410 0.2399 0.1020 succes PSUCC fft3d.f:49
