Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.0763 0.0722 0.2251 succes PSUCC fft3d.f:125
0.8841 0.8815 0.5802 succes PSUCC fft3d.f:49
0.4524 0.4275 0.8570 succes PSUCC fft3d.f:2
0.3438 0.3259 0.8500 succes PSUCC fft3d.f:126
0.2369 0.2239 0.3426 succes PSUCC fft3d.f:48
0.5402 0.5281 0.6936 succes PSUCC fft3d.f:82
0.5264 0.4870 0.3356 succes PSUCC fft3d.f:160
0.3268 0.3050 0.1828 succes PSUCC ()
0.1361 0.1283 0.0397 succes PSUCC fft3d.f:82
0.4391 0.4113 0.3888 succes PSUCC ()
0.2480 0.2316 0.2452 succes PSUCC fft3d.f:2
0.0527 0.0517 0.5953 succes PSUCC fft3d.f:49
0.6240 0.5759 0.3749 succes PSUCC fft3d.f:120
0.8368 0.7879 0.0840 succes PSUCC fft3d.f:82
0.7372 0.6958 0.5832 succes PSUCC fft3d.f:46
0.0329 0.0329 0.4255 succes PSUCC fft3d.f:81
0.6055 0.5709 0.2094 succes PSUCC fft3d.f:2
0.4946 0.4676 0.1977 succes PSUCC fft3d.f:126
0.3064 0.2822 0.5564 succes PSUCC fft3d.f:81
0.6108 0.5606 0.4083 failed PSUCC fft3d.f:49
0.8298 0.7663 0.6189 succes PSUCC fft3d.f:49
0.0509 0.0477 0.8321 succes PSUCC fft3d.f:160
0.8590 0.7996 0.1837 succes PSUCC ()
0.6677 0.6220 0.5395 succes PSUCC fft3d.f:82
0.9644 0.9021 0.8837 succes PSUCC ()
0.2729 0.2556 0.7393 succes PSUCC ()
0.5785 0.5428 0.5911 succes PSUCC fft3d.f:166
0.9715 0.9000 0.0865 succes PSUCC fft3d.f:120
0.1845 0.1747 0.7907 succes PSUCC fft3d.f:126
0.5862 0.5530 0.2904 failed PSUCC fft3d.f:49
0.8838 0.8320 0.6376 failed PSUCC fft3d.f:49
0.7865 0.7376 0.6402 succes PSUCC fft3d.f:82
0.5859 0.5475 0.4872 succes PSUCC fft3d.f:82
0.3960 0.3747 0.8417 succes PSUCC fft3d.f:126
0.7039 0.6654 0.1966 succes PSUCC fft3d.f:81
0.0943 0.0891 0.1896 succes PSUCC fft3d.f:81
0.8997 0.8452 0.5394 succes PSUCC ()
0.7918 0.7389 0.5323 succes PSUCC fft3d.f:46
0.6001 0.5631 0.3867 succes PSUCC fft3d.f:49
0.9062 0.8934 0.2407 succes PSUCC fft3d.f:82
0.9761 0.9212 0.5209 succes PSUCC fft3d.f:46
0.2805 0.2624 0.3694 succes PSUCC fft3d.f:126
0.0844 0.0799 0.2227 succes PSUCC fft3d.f:82
0.4764 0.4524 0.2141 succes PSUCC fft3d.f:81
0.3711 0.3488 0.7112 succes PSUCC fft3d.f:160
0.1798 0.1791 0.0661 succes PSUCC fft3d.f:82
0.2490 0.2341 0.8456 succes PSUCC fft3d.f:2
0.1395 0.1314 0.8372 succes PSUCC fft3d.f:2
0.9451 0.8859 0.6892 succes PSUCC fft3d.f:49
0.2471 0.2340 0.0376 succes PSUCC fft3d.f:49
0.1459 0.1383 0.0376 succes PSUCC fft3d.f:2
0.5348 0.5326 0.5264 succes PSUCC fft3d.f:2
0.1011 0.0961 0.3061 succes PSUCC fft3d.f:2
0.9936 0.9334 0.2987 succes PSUCC fft3d.f:82
0.8025 0.7581 0.1542 succes PSUCC fft3d.f:2
0.6061 0.5717 0.5041 succes PSUCC fft3d.f:49
0.0038 0.0037 0.0023 succes PSUCC ()
