Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.7221 0.6520 0.4486 SUCCES PFAIL mg.f:604
0.2702 0.2684 0.1209 SUCCES PSUCC mg.f:770
0.5981 0.5367 0.0647 SUCCES PFAIL mg.f:679
0.5807 0.5252 0.9453 SUCCES PFAIL mg.f:667
0.1452 0.1314 0.9632 SUCCES PFAIL mg.f:667
0.1230 0.1106 0.8371 SUCCES PFAIL mg.f:593
0.3422 0.3090 0.2899 SUCCES PFAIL mg.f:595
0.6476 0.5874 0.3852 SUCCES PFAIL mg.f:604
0.8694 0.7858 0.8405 SUCCES PFAIL mg.f:604
0.6811 0.6154 0.9409 SUCCES PFAIL mg.f:604
0.3961 0.3573 0.3882 SUCCES PFAIL mg.f:679
0.7058 0.6370 0.4876 SUCCES PFAIL mg.f:667
0.9258 0.8359 0.4420 SUCCES PFAIL mg.f:667
0.1455 0.1319 0.8941 SUCCES PFAIL mg.f:667
0.7097 0.6415 0.4119 SUCCES PFAIL mg.f:597
0.0204 0.0186 0.0099 SUCCES PFAIL mg.f:856
0.8274 0.7470 0.1056 SUCCES PFAIL mg.f:679
0.5471 0.4940 0.5592 SUCCES PFAIL mg.f:667
0.2640 0.2389 0.0112 SUCCES PFAIL mg.f:665
0.0725 0.0658 0.1082 SUCCES PFAIL mg.f:667
0.1452 0.1315 0.6329 SUCCES PFAIL mg.f:679
0.6214 0.5616 0.5066 SUCCES PFAIL mg.f:679
0.9303 0.8444 0.1043 SUCCES PFAIL mg.f:595
0.1465 0.1329 0.0561 SUCCES PFAIL mg.f:679
0.2195 0.1988 0.0788 SUCCES PFAIL mg.f:679
0.6946 0.6270 0.4514 SUCCES PFAIL mg.f:679
0.9152 0.8270 0.9068 SUCCES PFAIL mg.f:679
0.7190 0.6500 0.4983 SUCCES PFAIL mg.f:604
0.0300 0.0272 0.5965 SUCCES PFAIL mg.f:679
0.7523 0.6789 0.5517 SUCCES PFAIL mg.f:831
0.5590 0.5049 0.6490 SUCCES PFAIL mg.f:665
0.7784 0.6994 0.6026 SUCCES PFAIL mg.f:679
0.9937 0.8960 0.5509 SUCCES PFAIL mg.f:667
0.7208 0.6512 0.5106 SUCCES PFAIL mg.f:604
0.5217 0.4697 0.1022 SUCCES PFAIL mg.f:667
0.5067 0.4587 0.4833 SUCCES PFAIL mg.f:665
0.5681 0.5128 0.4981 SUCCES PFAIL mg.f:604
0.2962 0.2681 0.9575 SUCCES PFAIL mg.f:679
0.8593 0.7746 0.4749 SUCCES PFAIL mg.f:604
0.0790 0.0716 0.9271 SUCCES PFAIL mg.f:679
0.6477 0.5849 0.9505 SUCCES PFAIL mg.f:595
0.3706 0.3356 0.9067 SUCCES PFAIL mg.f:679
0.9335 0.8425 0.9232 SUCCES PFAIL mg.f:595
0.6552 0.5930 0.3772 SUCCES PFAIL mg.f:679
0.1337 0.1205 0.2520 SUCCES PFAIL mg.f:597
0.3569 0.3223 0.7089 SUCCES PFAIL mg.f:604
0.6579 0.5950 0.2994 SUCCES PFAIL mg.f:665
0.6442 0.5812 0.1837 SUCCES PFAIL mg.f:604
0.3609 0.3280 0.6341 SUCCES PFAIL mg.f:663
0.4307 0.3894 0.1567 SUCCES PFAIL mg.f:595
0.7388 0.6682 0.2530 SUCCES PFAIL mg.f:679
0.7206 0.6507 0.6319 SUCCES PFAIL mg.f:604
0.5224 0.4725 0.7239 SUCCES PFAIL mg.f:679
0.0079 0.0073 0.6064 SUCCES PFAIL mg.f:755
0.8101 0.7322 0.6965 SUCCES PFAIL mg.f:667
0.2920 0.2643 0.5775 SUCCES PFAIL mg.f:679
0.2749 0.2482 0.9568 SUCCES PFAIL mg.f:604
0.5808 0.5255 0.5508 SUCCES PFAIL mg.f:665
0.5614 0.5061 0.4294 FAILED PFAIL mg.f:597
0.2807 0.2540 0.8843 SUCCES PFAIL mg.f:604
0.0819 0.0744 0.4731 SUCCES PFAIL mg.f:667
0.1592 0.1438 0.5018 SUCCES PFAIL mg.f:760
0.8690 0.7850 0.9474 SUCCES PFAIL mg.f:597
0.0897 0.0812 0.4018 SUCCES PFAIL mg.f:755
0.3992 0.3587 0.4973 SUCCES PFAIL mg.f:665
0.6223 0.5620 0.9540 SUCCES PFAIL mg.f:667
0.4304 0.3916 0.0513 SUCCES PFAIL mg.f:679
0.4997 0.4512 0.0725 SUCCES PFAIL mg.f:604
0.7163 0.6463 0.5240 SUCCES PFAIL mg.f:597
0.4329 0.3920 0.4746 SUCCES PFAIL mg.f:667
0.0040 0.0037 0.9972 SUCCES PFAIL mg.f:770
0.8116 0.7380 0.5922 SUCCES PFAIL mg.f:679
0.7879 0.7116 0.4669 SUCCES PFAIL mg.f:597
0.0979 0.0884 0.5650 SUCCES PFAIL mg.f:838
0.8181 0.7420 0.0194 SUCCES PFAIL mg.f:755
0.1211 0.1098 0.1111 SUCCES PFAIL mg.f:597
0.4245 0.3834 0.2039 SUCCES PFAIL mg.f:604
0.1533 0.1391 0.1646 SUCCES PFAIL mg.f:679
0.2137 0.1935 0.1799 SUCCES PFAIL mg.f:665
0.1993 0.1800 0.0631 SUCCES PFAIL mg.f:597
0.5013 0.4526 0.6537 SUCCES PFAIL mg.f:604
0.7308 0.6611 0.1146 SUCCES PFAIL mg.f:679
0.7946 0.7173 0.1322 SUCCES PFAIL mg.f:604
0.0128 0.0118 0.0839 SUCCES PFAIL mg.f:763
0.3233 0.2921 0.1809 SUCCES PFAIL mg.f:667
0.0373 0.0338 0.6301 SUCCES PFAIL mg.f:679
0.3453 0.3100 0.2283 SUCCES PFAIL mg.f:604
0.5668 0.5112 0.1831 SUCCES PFAIL mg.f:595
0.2854 0.2596 0.1345 SUCCES PFAIL mg.f:634
0.8518 0.7694 0.6547 SUCCES PFAIL mg.f:679
0.0730 0.0661 0.1089 SUCCES PFAIL mg.f:679
0.1430 0.1295 0.6293 SUCCES PFAIL mg.f:667
0.6199 0.5594 0.0069 SUCCES PFAIL mg.f:679
0.9309 0.8408 0.1047 SUCCES PFAIL mg.f:604
0.6496 0.5867 0.0575 SUCCES PFAIL mg.f:595
0.9560 0.8660 0.6538 SUCCES PFAIL mg.f:667
0.4344 0.3932 0.0279 SUCCES PFAIL mg.f:679
0.0009 0.0009 0.5464 SUCCES PFAIL mg.f:755
0.7200 0.6530 0.0003 SUCCES PFAIL mg.f:595
0.0293 0.0267 0.0972 SUCCES PFAIL mg.f:665
0.2463 0.2210 0.0481 SUCCES PFAIL mg.f:846
0.9692 0.8744 0.0049 SUCCES PFAIL mg.f:757
0.2724 0.2459 0.0976 SUCCES PFAIL mg.f:604
0.9938 0.8974 0.5515 SUCCES PFAIL mg.f:665
0.7165 0.6477 0.0063 SUCCES PFAIL mg.f:595
0.0292 0.0265 0.1084 SUCCES PFAIL mg.f:679
0.2436 0.2197 0.0565 SUCCES PFAIL mg.f:595
0.4641 0.4184 0.5105 SUCCES PFAIL mg.f:846
0.2743 0.2476 0.1093 SUCCES PFAIL mg.f:604
0.4937 0.4449 0.5633 FAILED PFAIL mg.f:597
0.2095 0.1894 0.0119 SUCCES PFAIL mg.f:604
0.0196 0.0179 0.6109 SUCCES PFAIL mg.f:665
0.7364 0.6698 0.5626 SUCCES PFAIL mg.f:667
0.8044 0.7281 0.5828 SUCCES PFAIL mg.f:667
0.8696 0.7849 0.6007 SUCCES PFAIL mg.f:595
0.5907 0.5349 0.5555 SUCCES PFAIL mg.f:665
0.6569 0.5943 0.5738 SUCCES PFAIL mg.f:665
0.1422 0.1289 0.9570 SUCCES PFAIL mg.f:667
0.6200 0.5593 0.3326 SUCCES PFAIL mg.f:667
0.4300 0.3882 0.9309 SUCCES PFAIL mg.f:597
0.6529 0.5891 0.8869 SUCCES PFAIL mg.f:604
0.4546 0.4101 0.4785 SUCCES PFAIL mg.f:770
0.1774 0.1601 0.9341 SUCCES PFAIL mg.f:679
0.3993 0.3618 0.8895 SUCCES PFAIL mg.f:634
0.2025 0.1830 0.9825 SUCCES PFAIL mg.f:604
0.9212 0.8330 0.4343 SUCCES PFAIL mg.f:679
0.2292 0.2075 0.0301 SUCCES PFAIL mg.f:679
0.7081 0.6395 0.4078 SUCCES PFAIL mg.f:604
0.0152 0.0139 0.5016 SUCCES PFAIL mg.f:679
0.2355 0.2130 0.9564 SUCCES PFAIL mg.f:757
0.0414 0.0376 0.0512 SUCCES PFAIL mg.f:679
0.7647 0.6898 0.5075 SUCCES PFAIL mg.f:665
0.0706 0.0640 0.1010 SUCCES PFAIL mg.f:663
0.0498 0.0452 0.4784 SUCCES PFAIL mg.f:604
0.8580 0.7700 0.5745 SUCCES PFAIL mg.f:604
0.0746 0.0676 0.5259 SUCCES PFAIL mg.f:679
0.5587 0.5038 0.4081 SUCCES PFAIL mg.f:679
0.8569 0.7695 0.4952 SUCCES PFAIL mg.f:604
0.0838 0.0759 0.9547 SUCCES PFAIL mg.f:679
0.0629 0.0569 0.8309 SUCCES PFAIL mg.f:604
0.8750 0.7918 0.9317 SUCCES PFAIL mg.f:679
0.8501 0.7671 0.3051 SUCCES PFAIL mg.f:679
0.1633 0.1476 0.9042 SUCCES PFAIL mg.f:770
0.8799 0.7962 0.8565 SUCCES PFAIL mg.f:667
0.4462 0.4034 0.3733 SUCCES PFAIL mg.f:665
0.9340 0.8428 0.2598 SUCCES PFAIL mg.f:595
0.7379 0.6672 0.3525 SUCCES PFAIL mg.f:665
0.7149 0.6450 0.2280 SUCCES PFAIL mg.f:564
