Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.3137 0.3115 0.0942 SUCCES PSUCC mg.f:604
0.1356 0.1348 0.0344 SUCCES PSUCC mg.f:770
0.4653 0.4664 0.4795 SUCCES PSUCC mg.f:667
0.5534 0.5500 0.8503 SUCCES PSUCC mg.f:679
0.8893 0.8828 0.8011 SUCCES PSUCC mg.f:663
0.7103 0.7052 0.7382 SUCCES PSUCC mg.f:604
0.0390 0.0389 0.1843 SUCCES PSUCC mg.f:604
0.7830 0.7831 0.4883 SUCCES PSUCC mg.f:593
0.1057 0.1051 0.4295 SUCCES PSUCC mg.f:597
0.3511 0.3514 0.7361 SUCCES PSUCC mg.f:679
0.1827 0.1828 0.1848 SUCCES PSUCC mg.f:595
0.5113 0.5095 0.1304 SUCCES PSUCC mg.f:595
0.7508 0.7455 0.9317 SUCCES PSUCC mg.f:848
0.5796 0.5783 0.8767 SUCCES PSUCC mg.f:597
0.8183 0.8125 0.1766 SUCCES PSUCC mg.f:858
0.1505 0.1496 0.1245 SUCCES PSUCC mg.f:665
0.8885 0.8884 0.9257 SUCCES PSUCC mg.f:667
0.2162 0.2147 0.3697 SUCCES PSUCC mg.f:795
0.5428 0.5426 0.3116 SUCCES PSUCC mg.f:592
0.3714 0.3689 0.2596 SUCCES PSUCC mg.f:604
0.1160 0.1162 0.5655 SUCCES PSUCC mg.f:597
0.9454 0.9393 0.0103 SUCCES PSUCC mg.f:848
0.7757 0.7750 0.9571 SUCCES PSUCC mg.f:597
0.5937 0.5953 0.3922 SUCCES PSUCC mg.f:679
0.6906 0.6861 0.7697 SUCCES PSUCC mg.f:679
0.0142 0.0143 0.2112 SUCCES PSUCC mg.f:858
0.3438 0.3434 0.1561 SUCCES PSUCC mg.f:663
0.6765 0.6714 0.6047 SUCCES PSUCC mg.f:757
0.9152 0.9141 0.9068 SUCCES PSUCC mg.f:604
0.7453 0.7392 0.8516 SUCCES PSUCC mg.f:770
0.9900 0.9924 0.1585 SUCCES PSUCC mg.f:663
0.0755 0.0750 0.5262 SUCCES PSUCC mg.f:679
0.4034 0.4008 0.9696 SUCCES PSUCC mg.f:770
0.7340 0.7350 0.4181 SUCCES PSUCC mg.f:679
0.8231 0.8214 0.2866 FAILED PSUCC mg.f:667
0.1501 0.1492 0.2300 SUCCES PSUCC mg.f:665
0.3903 0.3912 0.0329 SUCCES PSUCC mg.f:665
0.4822 0.4783 0.4057 SUCCES PSUCC mg.f:856
0.3114 0.3110 0.3511 SUCCES PSUCC mg.f:597
0.6323 0.6277 0.2892 SUCCES PSUCC mg.f:679
0.9673 0.9670 0.2394 SUCCES PSUCC mg.f:667
0.2893 0.2874 0.1783 SUCCES PSUCC mg.f:665
0.1236 0.1241 0.1290 SUCCES PSUCC mg.f:667
0.6249 0.6208 0.8571 SUCCES PSUCC mg.f:667
0.4573 0.4580 0.8044 SUCCES PSUCC mg.f:679
0.5373 0.5352 0.6667 SUCCES PSUCC mg.f:663
0.6296 0.6208 0.0401 SUCCES PSUCC mg.f:667
0.8757 0.8696 0.3465 SUCCES PSUCC mg.f:770
0.1961 0.1967 0.2843 SUCCES PSUCC mg.f:665
0.2879 0.2840 0.6558 SUCCES PSUCC mg.f:846
0.5310 0.5322 0.9614 SUCCES PSUCC mg.f:665
0.6208 0.6163 0.3318 SUCCES PSUCC mg.f:667
0.9475 0.9477 0.7769 SUCCES PSUCC mg.f:679
0.7763 0.7653 0.2212 SUCCES PSUCC mg.f:679
0.5245 0.5258 0.0299 SUCCES PSUCC mg.f:679
0.6089 0.6043 0.3957 SUCCES PSUCC mg.f:770
0.9374 0.9333 0.3399 SUCCES PSUCC mg.f:663
0.4389 0.4387 0.5694 SUCCES PSUCC mg.f:604
0.2623 0.2628 0.5088 SUCCES PSUCC mg.f:679
0.8558 0.8552 0.3832 SUCCES PSUCC mg.f:604
0.1850 0.1855 0.8274 SUCCES PSUCC mg.f:667
0.7728 0.7714 0.6973 SUCCES PSUCC mg.f:604
0.1015 0.1009 0.1422 SUCCES PSUCC mg.f:597
0.9325 0.9343 0.5882 SUCCES PSUCC mg.f:679
0.5185 0.5184 0.4574 SUCCES PSUCC mg.f:595
0.7592 0.7539 0.2597 SUCCES PSUCC mg.f:679
0.5890 0.5834 0.7062 SUCCES PSUCC mg.f:595
0.8317 0.8253 0.0100 SUCCES PSUCC mg.f:679
0.6578 0.6602 0.9535 SUCCES PSUCC mg.f:667
0.1645 0.1645 0.6843 SUCCES PSUCC mg.f:679
0.4908 0.4867 0.6289 SUCCES PSUCC mg.f:679
0.8195 0.8141 0.5742 SUCCES PSUCC mg.f:831
0.5607 0.5568 0.3764 SUCCES PSUCC mg.f:679
0.3814 0.3817 0.3144 SUCCES PSUCC mg.f:595
0.1249 0.1255 0.6188 SUCCES PSUCC mg.f:679
0.7223 0.7239 0.9969 SUCCES PSUCC mg.f:667
0.3093 0.3070 0.3644 SUCCES PSUCC mg.f:604
0.6350 0.6299 0.8067 SUCCES PSUCC mg.f:665
0.9681 0.9615 0.7562 SUCCES PSUCC mg.f:665
0.7926 0.7955 0.1994 SUCCES PSUCC mg.f:665
0.7965 0.7978 0.9281 SUCCES PSUCC mg.f:679
0.8806 0.8741 0.7941 SUCCES PSUCC mg.f:679
0.7132 0.7131 0.7431 SUCCES PSUCC mg.f:604
0.5454 0.5413 0.6916 SUCCES PSUCC mg.f:755
0.3688 0.3662 0.1289 SUCCES PSUCC mg.f:597
0.1954 0.1958 0.0741 SUCCES PSUCC mg.f:679
0.7900 0.7879 0.9477 SUCCES PSUCC mg.f:604
0.6156 0.6114 0.3925 SUCCES PSUCC mg.f:840
0.8544 0.8547 0.1925 SUCCES PSUCC mg.f:604
0.6864 0.6859 0.6397 SUCCES PSUCC mg.f:838
0.0128 0.0130 0.0839 SUCCES PSUCC mg.f:840
0.3425 0.3402 0.0298 SUCCES PSUCC mg.f:667
0.1664 0.1654 0.4719 SUCCES PSUCC mg.f:679
0.9984 1.0008 0.4200 SUCCES PSUCC mg.f:665
0.5845 0.5845 0.7867 SUCCES PSUCC mg.f:597
0.9186 0.9183 0.2363 SUCCES PSUCC mg.f:595
0.7420 0.7393 0.6762 SUCCES PSUCC mg.f:667
0.2445 0.2445 0.4056 SUCCES PSUCC mg.f:597
0.5786 0.5759 0.3541 SUCCES PSUCC mg.f:604
0.9005 0.8944 0.7963 SUCCES PSUCC mg.f:679
0.2303 0.2301 0.7398 SUCCES PSUCC mg.f:679
0.5615 0.5575 0.1875 SUCCES PSUCC mg.f:667
0.8870 0.8810 0.1302 SUCCES PSUCC mg.f:844
0.6298 0.6254 0.9337 SUCCES PSUCC mg.f:665
0.9600 0.9531 0.8824 SUCCES PSUCC mg.f:667
0.1972 0.1964 0.1817 SUCCES PSUCC mg.f:665
