Num_Of_Iter Number_Differences Percentage
1 32 0.00000381
2 8 0.00000095
3 512 0.00006104
4 16 0.00000191
5 8192 0.00097656
6 Seg Fault
7 660801 0.07877362
8 1 0.00000012
9 8192 0.00097656
10 Seg Fault
11 4096 0.00048828
12 16384 0.00195312
13 2048 0.00024414
14 1024 0.00012207
15 2 0.00000024
16 498616 0.05943966
17 32768 0.00390625
18 591051 0.07045877
19 512 0.00006104
20 2048 0.00024414
21 2 0.00000024
22 65254 0.00777888
23 256 0.00003052
24 130045 0.01550257
25 261472 0.03116989
26 93881 0.01119149
27 4096 0.00048828
28 245654 0.02928424
29 223156 0.02660227
30 31754 0.00378537
31 314549 0.03749716
32 8 0.00000095
33 4 0.00000048
34 1024 0.00012207
35 8 0.00000095
36 4096 0.00048828
37 538858 0.06423688
38 8192 0.00097656
39 Seg Fault
40 8 0.00000095
41 32768 0.00390625
42 0 0.00000000
43 128 0.00001526
44 64 0.00000763
45 2 0.00000024
46 8192 0.00097656
47 Seg Fault
48 647939 0.07724035
49 201132 0.02397680
50 523187 0.06236875
51 2 0.00000024
52 Seg Fault
53 272235 0.03245294
54 4 0.00000048
55 4096 0.00048828
56 262139 0.03124940
57 0 0.00000000
58 609426 0.07264924
59 1024 0.00012207
60 296537 0.03534997
61 1023 0.00012195
62 347231 0.04139316
63 65536 0.00781250
64 16 0.00000191
65 Seg Fault
66 512 0.00006104
67 4095 0.00048816
68 128 0.00001526
69 0 0.00000000
70 292241 0.03483784
71 16 0.00000191
72 2048 0.00024414
73 652 0.00007772
74 4096 0.00048828
75 164414 0.01959968
76 4096 0.00048828
77 33748 0.00402308
78 167594 0.01997876
79 557877 0.06650412
80 Seg Fault
81 512 0.00006104
82 0 0.00000000
83 561413 0.06692564
84 32 0.00000381
85 1024 0.00012207
86 64 0.00000763
87 64 0.00000763
88 0 0.00000000
89 2048 0.00024414
90 128 0.00001526
91 715865 0.08533776
92 211951 0.02526653
93 207565 0.02474368
94 2 0.00000024
95 60981 0.00726950
96 130417 0.01554692
97 252915 0.03014982
98 8192 0.00097656
99 1 0.00000012
100 4 0.00000048
